"gauge_id","geol_class_1st","geol_class_1st_perc","geol_class_2nd","geol_class_2nd_perc","inter_volca_rocks_perc","geol_porosity","geol_permeability"
"PE_110139","sc",62.87,"vi",21.48,21.48,0.087,-12.483
"PE_111151","vi",61.18,"pa",18.5,61.18,0.088,-13.23
