"gauge_id","inceptisols_perc","entisols_perc","alfisols_perc","ultisols_perc","aridisols_perc","gelisols_perc","oxisols_perc","mollisols_perc","vertisols_perc","soil_dominant_class"
"PE_110139",94.43,4.36,1.2,0.01,0,0,0,0,0,"inceptisols_perc"
"PE_111151",71.15,22.95,4.04,1.48,0.2,0.11,0.07,0,0,"inceptisols_perc"
