"gauge_id","area","perimeter","elev_min","elev_max","elev_mean","elev_median","slope_mean"
"PE_110139",360.584,1348.403,3009.65,5292.85,4534.981,4631.856,3.902
"PE_111151",1263.804,887.33,866.67,5294.93,3542.298,3695.919,22.799
