"gauge_id","q_mean","runoff_ratio","stream_elas","baseflow_index","slope_fdc","hfd_mean","Q5","Q95","high_q_freq","high_q_dur","low_q_freq","low_q_dur","zero_q_freq"
"PE_110139",1.109,0.538,0.819,0.791,0.641,180.811,0.395,2.424,0,,0,,0
"PE_111151",0.396,0.263,1.339,0.571,1.466,180.486,0.037,1.466,13.306,7.831,64.639,22.488,0
