"gauge_id","surface_adh_n","surface_adh_vol","surface_adh_use","groundwater_adh_n","groundwater_adh_vol","groundwater_adh_use","reservoir_n","reservoir_vol","reservoir_use"
"PE_110139",0,0,"None",0,0,"None",1,,"Irrigation"
"PE_111151",0,0,"None",0,0,"None",10,27.9,"Irrigation"
