"date","prec","prec_var","flow_obs","flow_sim","pet","tmin","tmean","tmax","srad","vprp"
2000-03-12,3.007,0.184,,2.829,2.774,4.407,8.105,11.803,15.85,7.117
2000-03-13,3.468,0.079,,2.642,2.9,4.6,8.66,12.72,17.781,7.143
2000-03-14,4.767,0.309,,2.603,2.739,3.878,8.805,13.731,18.097,7.028
2000-03-15,5.015,0.952,,2.584,2.73,4.547,8.244,11.941,14.799,7.383
2000-03-16,1.441,0.148,,2.554,2.706,4.466,9.357,14.248,12.247,7.048
2000-03-17,0.637,0.054,,2.416,2.364,3.167,7.407,11.648,16.564,5.885
2000-03-18,3.012,0.954,,2.313,2.42,3.131,7.919,12.706,12.65,6.631
2000-03-19,1.826,0.202,,2.208,3.214,3.758,8.697,13.636,16.338,6.588
2000-03-20,3.384,0.339,,2.12,2.874,3.349,8.08,12.811,16.06,6.863
2000-03-21,2.804,0.12,,2.095,2.514,4.373,7.979,11.585,14.143,7.388
2000-03-22,1.438,0.015,,2.092,3.364,4.099,9.014,13.929,18.801,6.746
2000-03-23,7.692,0.275,,2.092,2.567,4.821,8.887,12.953,18.48,6.84
2000-03-24,6.389,0.129,,2.16,2.154,4.651,7.782,10.914,11.963,7.107
2000-03-25,3.518,0.149,,2.308,2.838,4.165,8.226,12.286,15.834,6.527
2000-03-26,2.126,0.592,,2.3,3.456,4.131,8.872,13.613,21.915,5.581
2000-03-27,3.283,0.216,,2.199,3.257,2.889,8.437,13.985,22.009,5.619
2000-03-28,3.268,0.291,,2.119,3.245,3.586,8.159,12.731,16.492,6.048
2000-03-29,8.052,0.14,,2.121,3.011,4.614,8.512,12.41,18.163,6.552
2000-03-30,4.097,0.472,,2.207,3.244,3.639,8.938,14.238,16.847,7.211
2000-03-31,8.972,0.151,,2.31,2.638,4.913,8.607,12.302,13.737,7.324
2000-04-01,4.269,0.745,,2.343,2.738,3.912,8.035,12.159,16.787,6.942
2000-04-02,0.502,0.012,,2.311,2.83,3.901,8.049,12.197,17.866,6.403
2000-04-03,1.319,0.126,,2.163,2.695,3.947,8.381,12.816,20.249,5.618
2000-04-04,1.826,0.217,,2.093,2.279,4.216,8.194,12.173,15.416,6.329
2000-04-05,1.306,0.095,,1.989,2.301,4.233,7.784,11.334,15.682,6.651
2000-04-06,0.647,0.033,,1.941,2.726,3.991,8.252,12.514,16.326,6.836
2000-04-07,0.4,0.008,,1.863,2.806,4.318,9.144,13.969,18.661,6.438
2000-04-08,4.585,1.918,,1.844,2.962,4.784,9.22,13.656,17.607,6.782
2000-04-09,2.892,0.273,,1.859,2.822,4.139,8.306,12.473,15.93,7.036
2000-04-10,0.233,0.005,,1.858,2.759,3.598,8.443,13.288,17.368,6.728
2000-04-11,0.371,0.005,,1.803,3.279,4.382,9.095,13.809,18.994,5.759
2000-04-12,1.078,0.046,,1.68,3.288,2.899,8.349,13.798,21.754,5.001
2000-04-13,2.934,0.741,,1.672,2.977,3.402,8.628,13.853,17.753,6.218
2000-04-14,5.126,1.204,,1.697,2.523,1.618,7.364,13.111,15.015,7.038
2000-04-15,3.676,0.631,,1.803,2.828,2.596,7.976,13.356,17.079,6.715
2000-04-16,2.942,1.268,,1.848,2.292,4.376,8.319,12.262,17.413,6.858
2000-04-17,2.419,0.436,,1.845,2.213,3.791,8.637,13.483,15.079,7.34
2000-04-18,2.12,0.169,,1.803,2.442,3.933,8.971,14.009,14.411,7.464
2000-04-19,0.718,0.027,,1.745,2.427,2.285,7.652,13.02,16.394,6.974
2000-04-20,0.748,0.049,,1.626,2.394,4.385,9.021,13.656,14.368,7.27
2000-04-21,0.273,0.01,,1.545,2.59,4.7,9.5,14.299,14.969,7.213
2000-04-22,1.684,0.285,,1.525,2.866,4.14,9.387,14.634,17.545,7.112
2000-04-23,1.09,0.143,,1.506,2.57,3.812,8.692,13.573,16.832,6.874
2000-04-24,1.001,0.05,,1.454,2.44,3.421,8.446,13.47,16.239,7.009
2000-04-25,2.099,0.588,,1.435,2.265,4.736,9.824,14.911,14.936,7.094
2000-04-26,0.982,0.048,,1.419,2.933,3.045,9.141,15.236,17.514,7.096
2000-04-27,1.54,0.194,,1.41,2.352,4.389,9.331,14.274,17.538,6.853
2000-04-28,0.502,0.009,,1.387,2.653,5.058,9.824,14.589,18.461,6.639
2000-04-29,0.491,0.021,,1.366,2.672,3.754,9.523,15.291,18.732,6.43
2000-04-30,1.147,0.043,,1.33,2.918,2.687,9.174,15.661,18.514,6.678
2000-05-01,4.636,1.461,,1.343,2.927,4,9.342,14.685,18.715,6.985
2000-05-02,6.988,3.279,,1.412,2.898,2.927,8.923,14.918,16.801,6.851
2000-05-03,2.153,1.277,,1.527,2.729,3.453,8.875,14.296,17.996,6.664
2000-05-04,4.607,4.332,,1.546,2.278,2.438,7.567,12.696,15.144,7.06
2000-05-05,5.49,2.246,,1.613,2.359,2.902,8.236,13.571,15.521,7.007
2000-05-06,4.893,4.206,,1.679,2.156,2.652,7.65,12.648,15.485,7.127
2000-05-07,6.899,5.244,,1.787,2.864,2.964,8.568,14.171,16.11,6.982
2000-05-08,2.056,1.294,,1.848,2.747,3.401,8.597,13.793,17.924,6.782
2000-05-09,1.833,0.532,,1.814,2.458,2.346,7.984,13.622,16.209,6.723
2000-05-10,0.772,0.087,,1.737,2.991,4.223,9.329,14.434,18.481,6.635
2000-05-11,1.185,0.188,,1.576,3.157,3.526,9.236,14.946,18.235,6.174
2000-05-12,2.436,0.622,,1.526,2.799,3.294,8.901,14.509,18.032,6.62
2000-05-13,2.877,1.28,,1.506,2.652,2.747,8.57,14.393,16.974,6.678
2000-05-14,1.555,0.406,,1.479,2.445,2.867,7.828,12.788,15.997,6.787
2000-05-15,0.352,0.061,,1.418,2.897,2.922,8.812,14.702,16.709,7.007
