"date","prec","prec_var","flow_obs","flow_sim","pet","tmin","tmean","tmax","srad","vprp"
2000-01-01,5.22,11.208,,0.342,2.53,7.391,11.846,16.302,17.458,10.294
2000-01-02,3.822,9.01,,0.409,2.789,7.434,11.672,15.91,16.733,9.931
2000-01-03,11.754,29.76,,0.545,2.706,6.361,11.269,16.177,18.143,9.377
2000-01-04,3.977,3.6,,0.701,2.69,6.529,11.481,16.433,14.381,9.827
2000-01-05,6.504,14.405,,0.824,2.223,6.847,10.773,14.699,14.262,9.064
2000-01-06,7.374,11.923,,0.954,2.74,6.021,10.184,14.346,14.425,8.098
2000-01-07,4.611,11.714,,1.072,3.027,5.882,10.187,14.492,13.779,8.657
2000-01-08,3.747,4.703,,1.117,3.4,5.962,10.756,15.55,16.749,9.067
2000-01-09,3.572,6.766,,1.078,3.307,5.906,11.076,16.246,16.29,9.734
2000-01-10,3.974,8.566,,0.988,2.695,6.922,11.336,15.751,13.299,10.195
2000-01-11,3.697,5.549,,0.916,2.633,6.734,11.013,15.292,12.317,9.94
2000-01-12,9.323,37.352,,0.883,2.951,7.106,11.442,15.778,12.275,10.054
2000-01-13,1.566,2.151,,0.916,2.586,7.877,11.217,14.557,14.329,10.116
2000-01-14,0.609,0.101,,0.929,3.459,6.488,11.474,16.46,23.559,9.214
2000-01-15,0.64,0.106,,0.82,3.818,6.047,11.371,16.695,24.529,8.033
2000-01-16,0.705,0.112,,0.701,3.108,5.509,10.296,15.084,19.124,8.594
2000-01-17,7.04,27.671,,0.58,2.721,6.125,10.365,14.604,13.947,8.881
2000-01-18,1.741,1.81,,0.555,3.256,7.397,11.406,15.415,18.844,8.79
2000-01-19,5.802,8.79,,0.588,2.922,7.877,11.46,15.043,14.509,10.128
2000-01-20,4.457,3.701,,0.65,3.093,8.396,11.869,15.342,16.035,10.386
2000-01-21,1.199,0.357,,0.718,3.445,7.652,12.15,16.648,17.246,10.449
2000-01-22,1.296,0.817,,0.718,3.27,7.622,12.236,16.851,19.119,10.655
2000-01-23,3.504,2.88,,0.659,2.884,8.295,11.73,15.164,15.688,11.02
2000-01-24,3.884,7.282,,0.621,3.13,7.995,12.568,17.141,16.773,10.286
2000-01-25,1.172,0.367,,0.608,2.667,8.305,11.883,15.46,16.08,10
2000-01-26,7.869,10.172,,0.615,2.535,8.127,11.353,14.58,15.577,9.924
2000-01-27,16.933,29.379,,0.735,2.59,8.223,11.405,14.586,11.49,10.159
2000-01-28,5.55,5.154,,1.105,2.668,8.249,11.623,14.996,14.361,10.277
2000-01-29,3.526,2.735,,1.353,2.459,8.251,11.443,14.635,13.396,10.359
2000-01-30,6.259,9.167,,1.394,2.523,7.694,11.124,14.554,12.73,9.785
2000-01-31,11.359,23.166,,1.406,2.679,7.703,11.516,15.328,11.343,9.884
2000-02-01,4.863,2.121,,1.561,2.658,7.866,11.337,14.809,16.81,9.746
2000-02-02,7.63,6.828,,1.619,3.458,7.665,11.98,16.296,18.341,10.161
2000-02-03,15.301,21.549,,1.701,3.011,7.884,11.998,16.112,15.859,10.679
2000-02-04,1.702,1.152,,1.856,2.903,7.699,11.734,15.77,15.371,10.487
2000-02-05,0.843,0.173,,1.892,3.103,7.559,12,16.441,16.213,10.49
2000-02-06,0.649,0.219,,1.691,2.915,7.629,11.474,15.32,16.288,9.841
2000-02-07,2.076,0.765,,1.425,3.365,7.956,12.302,16.648,15.974,10.127
2000-02-08,2.981,1.842,,1.123,3.391,8.04,12.462,16.885,19.138,10.094
2000-02-09,2.75,2.481,,0.87,3.48,8.019,11.777,15.535,16.841,9.757
2000-02-10,0.505,0.044,,0.771,2.951,7.421,11.124,14.827,15.645,9.388
2000-02-11,0.164,0.005,,0.68,3.406,6.303,11.191,16.079,19.975,9.539
2000-02-12,0.207,0.02,,0.559,3.717,6.52,11.791,17.062,24.248,8.461
2000-02-13,0.596,0.111,,0.41,3.345,5.813,11.083,16.353,21.516,8.579
2000-02-14,3.118,4.635,,0.324,2.314,6.952,11.103,15.255,14.193,9.65
2000-02-15,12.047,17.127,,0.376,3.349,7.24,11.794,16.348,14.54,9.853
2000-02-16,12.406,17.412,,0.68,2.372,7,10.623,14.245,12.146,9.529
2000-02-17,9.026,9.483,,1.162,2.638,6.606,10.543,14.48,14.725,9.419
2000-02-18,10.845,11.64,,1.538,2.838,7.054,10.779,14.503,15.199,9.659
2000-02-19,4.589,3.361,,1.797,3.109,7.106,11.144,15.183,16.447,9.85
2000-02-20,6.513,10.391,,1.93,2.817,7.388,11.156,14.925,14.568,10.167
2000-02-21,11.647,12.657,,1.936,2.449,7.278,10.674,14.07,13.751,10.183
2000-02-22,8.959,6.082,,1.964,2.749,7.394,10.856,14.318,14.307,9.936
2000-02-23,6.075,8.426,,2.063,2.651,7.565,11.404,15.243,13.714,9.847
2000-02-24,7.576,13.318,,2.089,2.738,7.469,11.265,15.062,13.692,10.267
2000-02-25,10.788,6.795,,2.089,2.736,7.517,10.809,14.102,12.517,10.251
2000-02-26,8.522,10.855,,2.132,3.064,7.49,11.272,15.054,14.061,10.133
2000-02-27,6.197,6.766,,2.181,3.087,7.47,11.614,15.759,13.728,10.401
2000-02-28,7.26,4.346,,2.175,2.555,7.866,11.154,14.441,13.531,10.815
2000-02-29,5.451,2.496,,2.117,3.051,7.604,11.412,15.22,16.73,10.319
2000-03-01,9.835,12.237,,2.168,3.13,7.973,12.01,16.047,16.243,10.722
2000-03-02,7.38,7.908,,2.155,3.056,8.21,12.221,16.233,14.782,11.198
2000-03-03,3.952,3.959,,2.155,2.919,7.96,12.275,16.589,15.507,10.904
2000-03-04,2.848,1.537,,2.084,2.458,8.331,11.706,15.082,13.458,11.029
2000-03-05,5.055,9.405,,1.917,2.393,8.598,11.663,14.727,12.083,11.241
2000-03-06,11.57,15.453,,1.812,3.162,8.501,12.115,15.728,16.438,10.892
2000-03-07,5.708,9.833,,1.847,2.444,8.394,11.366,14.339,11.294,10.762
2000-03-08,5.979,4.797,,1.944,2.879,8.337,11.524,14.711,13.702,10.365
2000-03-09,3.755,2.907,,1.953,2.683,8.459,11.364,14.27,11.93,10.245
2000-03-10,2.411,2.78,,1.858,2.926,8.2,11.9,15.6,13.188,10.331
2000-03-11,1.917,1.68,,1.702,2.65,7.536,11.29,15.044,13.746,10.246
2000-03-12,1.702,0.732,,1.525,2.989,7.821,11.143,14.465,15.898,10.137
2000-03-13,1.651,0.518,,1.339,2.936,7.916,11.595,15.274,17.455,9.796
2000-03-14,1.593,1.211,,1.149,3.169,7.378,11.763,16.148,18.711,10.142
2000-03-15,2.725,3.354,,1.007,2.782,7.84,11.231,14.623,15.799,10.179
2000-03-16,1.924,3.099,,0.938,3.087,7.387,11.874,16.36,15.797,9.981
2000-03-17,0.888,0.571,,0.879,2.413,6.711,10.455,14.199,17.363,7.785
2000-03-18,2.947,7.774,,0.831,2.815,6.604,10.871,15.138,14.348,9.019
2000-03-19,0.754,0.309,,0.806,3.03,7.101,11.492,15.883,14.837,10.265
2000-03-20,3.415,5.118,,0.794,2.878,6.976,11.174,15.373,14.86,9.776
2000-03-21,2.485,3.183,,0.8,2.536,7.729,11.027,14.325,13.947,10.169
2000-03-22,0.874,0.233,,0.82,3.56,7.248,11.701,16.155,19.386,9.391
2000-03-23,7.554,12.532,,0.855,2.658,7.973,11.644,15.314,17.723,9.507
2000-03-24,5.701,3.998,,0.955,2.259,7.868,10.68,13.492,13.503,10.229
2000-03-25,0.696,0.534,,1.075,3.12,7.538,11.156,14.773,14.995,10.101
2000-03-26,1.089,1.524,,1.127,3.749,6.809,11.425,16.04,18.586,9.409
2000-03-27,1.221,0.635,,1.064,3.281,6.424,11.318,16.212,17.659,9.652
2000-03-28,2.519,3.539,,0.981,3.252,6.95,11.107,15.265,16.683,9.645
2000-03-29,7.151,10.354,,0.952,3.204,7.725,11.461,15.197,19.28,9.715
2000-03-30,3.769,5.544,,1.003,3.329,7.031,11.763,16.495,15.457,10.645
2000-03-31,7.977,8.831,,1.12,2.909,7.954,11.371,14.788,14.434,10.351
2000-04-01,3.453,5.725,,1.367,3.108,7.638,11.479,15.319,12.872,10.465
2000-04-02,0.542,0.126,,1.458,3.378,7.407,11.321,15.236,17.217,9.964
2000-04-03,2.057,1.249,,1.431,3.052,7.126,11.374,15.621,12.799,9.617
2000-04-04,2.203,1.223,,1.282,2.654,7.644,11.263,14.883,15.808,10.157
2000-04-05,1.258,0.375,,1.159,2.354,7.654,10.969,14.285,13.593,10.08
2000-04-06,0.703,0.403,,1.065,2.757,7.38,11.34,15.3,14.674,10.236
2000-04-07,0.535,0.106,,0.962,3.091,7.43,11.898,16.367,16.051,10.091
2000-04-08,1.019,0.284,,0.859,3.244,7.694,11.89,16.086,16.809,9.821
2000-04-09,4.354,11.581,,0.802,2.994,7.867,11.637,15.407,14.537,10.407
2000-04-10,0.956,0.769,,0.831,2.97,7.061,11.505,15.948,15.966,10.791
2000-04-11,0.656,0.382,,0.862,3.492,7.304,11.78,16.256,14.995,10.036
2000-04-12,0.473,0.136,,0.85,3.34,6.391,11.311,16.232,17.246,9.344
2000-04-13,2.215,2.697,,0.8,3.187,7.169,11.726,16.284,16.06,9.904
2000-04-14,2.448,4.478,,0.783,2.697,5.743,10.832,15.922,15.79,9.772
2000-04-15,1.333,0.517,,0.79,2.924,6.31,11.137,15.964,16.276,9.821
2000-04-16,1.773,1.784,,0.805,2.594,7.763,11.411,15.059,15.608,10.357
2000-04-17,1.833,1.885,,0.82,2.611,7.359,11.576,15.793,14.938,10.311
2000-04-18,0.866,0.62,,0.822,2.726,6.648,11.398,16.148,13.771,10.887
2000-04-19,0.75,0.379,,0.799,2.626,6.322,10.902,15.481,15.334,10.531
2000-04-20,0.68,1.249,,0.756,2.476,7.68,11.806,15.932,14.305,10.48
2000-04-21,1.52,3.206,,0.726,2.893,7.72,12.1,16.479,14.775,10.65
2000-04-22,1.482,0.998,,0.713,2.951,7.123,11.911,16.698,17.931,10.087
2000-04-23,0.289,0.053,,0.711,2.749,7.043,11.455,15.867,14.633,10.113
2000-04-24,0.719,0.149,,0.684,2.897,7.116,11.499,15.882,16.773,10.234
2000-04-25,0.452,0.084,,0.663,2.7,7.439,12.185,16.932,15.479,10.508
2000-04-26,1.228,1.392,,0.637,3.019,6.473,11.807,17.142,14.833,10.579
2000-04-27,0.809,0.477,,0.634,2.803,7.5,12.087,16.675,16.263,10.206
2000-04-28,0.367,0.127,,0.632,3.091,7.468,12.086,16.705,15.318,10.009
2000-04-29,0.42,0.176,,0.62,3.092,6.893,12.105,17.316,16.982,9.751
2000-04-30,0.247,0.074,,0.604,2.978,6.447,11.963,17.48,16.638,9.93
2000-05-01,0.055,0.004,,0.649,3.341,7.71,12.802,17.894,16.422,10.193
2000-05-02,0.385,0.409,,0.608,3.282,6.525,12.215,17.905,16.372,9.828
2000-05-03,1.248,2.171,,0.586,3.126,7.326,12.378,17.429,17.752,9.619
2000-05-04,4.502,14.869,,0.614,2.625,6.775,11.451,16.127,14.901,9.8
2000-05-05,0.802,0.792,,0.722,2.942,7.306,12.185,17.064,16.725,9.783
2000-05-06,2.414,7.343,,0.823,2.753,7.405,12,16.596,16.386,9.867
2000-05-07,1.199,1.459,,0.889,3.051,7.723,12.609,17.495,16.365,9.911
2000-05-08,1.631,0.969,,0.89,2.983,7.291,12.271,17.252,15.913,9.789
2000-05-09,1.013,0.703,,0.889,2.965,6.691,12.03,17.369,16.731,10.155
2000-05-10,0.382,0.135,,0.872,3.232,7.657,12.702,17.747,17.682,9.82
2000-05-11,0.432,0.229,,0.803,3.273,7.016,12.433,17.849,17.127,9.459
2000-05-12,0.39,0.213,,0.751,2.876,7.178,12.207,17.236,17.766,9.605
2000-05-13,0.361,0.568,,0.684,2.875,7.037,12.075,17.112,16.834,9.517
2000-05-14,0.198,0.175,,0.635,2.815,6.948,11.417,15.886,16.751,9.575
